objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll015,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D88,https://pinakes.irht.cnrs.fr/notices/cote/42205/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:63913,Ambrosiana A 92 sup.,,15th|16th,,Astronomy|Medicine|Hymns|Optics,Cleomedes|Porphyry|Ptolemy|Synesius|Euclid,Milan,,,,,,,,,
coll016,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D89,https://pinakes.irht.cnrs.fr/notices/cote/42206/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:63943,Ambrosiana A 95 sup.,,14th,,Medicine,Galen|Dioscorides,Milan,,,,,,,,,
coll017,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D351,https://pinakes.irht.cnrs.fr/notices/cote/42302/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:27938,Ambrosiana B 12 inf.,,12th,,Theology|Saints lives,Gregory Nazianzus,Milan,,,,,,,,,
coll018,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D162,https://pinakes.irht.cnrs.fr/notices/cote/42303/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:65484,Ambrosiana B 12 sup.,,10th|11th,,Lexicon,,Milan,,,,,,,,,
coll019,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D348,https://pinakes.irht.cnrs.fr/notices/cote/42300/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:27441,Ambrosiana B 7 inf.,,13th|15th,,Philosophy,Aristotle|Simplicius,Milan,,,,,,,,,
coll020,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D183,https://pinakes.irht.cnrs.fr/notices/cote/42327/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:65940,Ambrosiana B 77 sup.,,15th,,Mathematics,Nicomachus of Gerasa|John Philoponus,Milan,,,,,,,,,
coll021,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D359,https://pinakes.irht.cnrs.fr/notices/cote/42395/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:28796,Ambrosiana C 10 inf.,,15th,,Philosophy|Hymns,Plato|Proclus|Homer,Milan,,,,,,,,,
coll022,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D281,https://pinakes.irht.cnrs.fr/notices/cote/42435/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68463,Ambrosiana C 100 sup.,,14th,,Theology,Philagathus of Cerami,Milan,,,,,,,,,
coll023,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D289,https://pinakes.irht.cnrs.fr/notices/cote/42443/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68513,Ambrosiana C 112 sup.,,16th,,Philosophy,Proclus|Nicholas of Methone,Milan,,,,,,,,,
coll024,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D290,https://pinakes.irht.cnrs.fr/notices/cote/42444/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68515,Ambrosiana C 113 sup.,,16th,,Philosophy,Proclus|Nicholas of Methone,Milan,,,,,,,,,
coll025,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D293,https://pinakes.irht.cnrs.fr/notices/cote/42448/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68545,Ambrosiana C 117 sup.,,16th,,Philosophy,Proclus|Nicholas of Methone,Milan,,,,,,,,,
coll026,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D295,https://pinakes.irht.cnrs.fr/notices/cote/42454/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68563,Ambrosiana C 122 sup.,,16th,,Philosophy,Proclus|Nicholas of Methone,Milan,,,,,,,,,
coll027,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D370,https://pinakes.irht.cnrs.fr/notices/cote/42458/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:29903,Ambrosiana C 126 inf.,,13th,,Rhetoric,Plutarch,Milan,,,,,,,,,
coll028,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D372,https://pinakes.irht.cnrs.fr/notices/cote/42459/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:29988,Ambrosiana C 129 inf.,,11th,,Theology,John Chrysostom,Milan,,,,,,,,,
coll029,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D361,https://pinakes.irht.cnrs.fr/notices/cote/42398/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:28834,Ambrosiana C 13 inf.,,15th,,Psalter|Liturgy,,Milan,,,,,,,,,
coll030,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D390,https://pinakes.irht.cnrs.fr/notices/cote/42472/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:30924,Ambrosiana C 178 inf.,,14th,,Theology,Gregory Nazianzus,Milan,,,,,,,,,
coll031,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D397,https://pinakes.irht.cnrs.fr/notices/cote/42480/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:31039,Ambrosiana C 195 inf.,,13th,,Rhetoric|Philosophy,Plutarch,Milan,,,,,,,,,
coll032,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D400,https://pinakes.irht.cnrs.fr/notices/cote/42485/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:31695,Ambrosiana C 222 inf.,,13th|14th,,,Aristophanes|Pindar|John Tzetzes|Oppianus|Dionysius Periegetes|Theocritus|Hesiod|Lycophron,Milan,,,,,,,,,
coll033,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D407,https://pinakes.irht.cnrs.fr/notices/cote/42488/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:31865,Ambrosiana C 235 inf.,,13th,,Rhetoric,Demosthenes,Milan,,,,,,,,,
coll034,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D410,https://pinakes.irht.cnrs.fr/notices/cote/42491/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:31995,Ambrosiana C 247 inf.,,15th,,History,Cedrenus,Milan,,,,,,,,,
coll035,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D413,https://pinakes.irht.cnrs.fr/notices/cote/42494/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32105,Ambrosiana C 255 inf.,,16th,,Theology,Gregory of Nyssa|Epiphanius|John of Damascus|Leo VI the Wise|Gregory Nazianzus,Milan,,,,,,,,,
coll036,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D426,https://pinakes.irht.cnrs.fr/notices/cote/42501/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32227,Ambrosiana C 262 inf.,,16th,,Engineering|Military,Hero of Alexandria|Leo VI the Wise,Milan,,,,,,,,,
coll037,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D427,https://pinakes.irht.cnrs.fr/notices/cote/42502/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32246,Ambrosiana C 263 inf.,,16th,,Astronomy,Ptolemy|Symeon Seth|Heliodorus|Theon,Milan,,,,,,,,,
coll038,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D433,https://pinakes.irht.cnrs.fr/notices/cote/42503/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32290,Ambrosiana C 264 inf.,,16th,,Theology,,Milan,,,,,,,,,
coll039,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D436,https://pinakes.irht.cnrs.fr/notices/cote/42506/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32317,Ambrosiana C 267 inf.,,16th,,Theology,Basil the Great|Procopius of Gaza,Milan,,,,,,,,,
coll040,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D438,https://pinakes.irht.cnrs.fr/notices/cote/42511/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32704,Ambrosiana C 279 inf.,,14th,,History,John Zonaras|Cedrenus|John Skylitzes,Milan,,,,,,,,,
coll041,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D363,https://pinakes.irht.cnrs.fr/notices/cote/42406/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:28947,Ambrosiana C 30 inf.,,12th,,Florilegium|Saints lives|Theology,,Milan,,,,,,,,,
coll042,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D443,https://pinakes.irht.cnrs.fr/notices/cote/42518/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:32899,Ambrosiana C 311 inf.,,15th|16th,,Geometry,Euclid,Milan,,,,,,,,,
coll043,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D253,https://pinakes.irht.cnrs.fr/notices/cote/42409/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:67831,Ambrosiana C 44 sup.,,14th,,,Euripides|Thomas Magister,Milan,,,,,,,,,
coll044,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D366,https://pinakes.irht.cnrs.fr/notices/cote/42423/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:29330,Ambrosiana C 80 inf.,,16th,,Medicine,Galen|Demetrius Moschus,Milan,,,,,,,,,
coll045,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D271,https://pinakes.irht.cnrs.fr/notices/cote/42431/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68300,Ambrosiana C 92 sup.,,14th,,Saints lives|Theology,John Chrysostom,Milan,,,,,,,,,
coll046,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D284,https://pinakes.irht.cnrs.fr/notices/cote/42434/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:68441,Ambrosiana C 98 sup.,,12th,,Psalter,,Milan,,,,,,,,,
coll047,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D362,https://pinakes.irht.cnrs.fr/notices/cote/42585/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70119,Ambrosiana D 119 sup.,,15th,,Rhetoric|Science,Dionysius Halicarnasseus|Joseph Rhacendytes,Milan,,,,,,,,,
coll048,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D320,https://pinakes.irht.cnrs.fr/notices/cote/42535/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69099,Ambrosiana D 34 sup.,,10th|11th,,Lexicon,Julius Pollux,Milan,,,,,,,,,
coll049,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D320,https://pinakes.irht.cnrs.fr/notices/cote/42536/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69124,Ambrosiana D 39 sup.,,14th,,Rhetoric,Libanius|Demosthenes,Milan,,,,,,,,,
coll050,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D323,https://pinakes.irht.cnrs.fr/notices/cote/42538/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69158,Ambrosiana D 42 sup.,,13th|14th,,Theology|Rhetoric,Basil the Great|Aristides,Milan,,,,,,,,,
coll051,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D331,https://pinakes.irht.cnrs.fr/notices/cote/42539/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69199,Ambrosiana D 43 sup.,,14th,,Philosophy,Aristotle|Ammonius|Porphyry,Milan,,,,,,,,,
coll052,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D476,https://pinakes.irht.cnrs.fr/notices/cote/42639/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:41947,Ambrosiana D 473 inf.,,15th|16th,,Theology|Philosophy|Rhetoric|Liturgy|Synaxarion,Michael of Ephesus|Dionysius Halicarnasseus,Milan,,,,,,,,,
coll053,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D328,https://pinakes.irht.cnrs.fr/notices/cote/42542/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69258,Ambrosiana D 50 sup.,,11th,,History,Flavius Josephus,Milan,,,,,,,,,
coll054,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D485,https://pinakes.irht.cnrs.fr/notices/cote/42655/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:45258,Ambrosiana D 518 inf.,,16th,,Medicine,Galen,Milan,,,,,,,,,
coll055,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D486,https://pinakes.irht.cnrs.fr/notices/cote/42657/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:833853,Ambrosiana D 527 inf.,,14th|15th,,Geography,Ptolemy|Dionysius Periegetes,Milan,,,,,,,,,
coll056,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D338,https://pinakes.irht.cnrs.fr/notices/cote/42545/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69330,Ambrosiana D 54 sup.,,13th,,Astronomy|Philosophy,Cleomedes|Aristotle|John Philoponus|Leo Magentinus|Porphyry|Ammonius,Milan,,,,,,,,,
coll057,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D445,https://pinakes.irht.cnrs.fr/notices/cote/42557/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:33610,Ambrosiana D 72 inf.,,16th,,Geography,Nicander Nucius,Milan,,,,,,,,,
coll058,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D346,https://pinakes.irht.cnrs.fr/notices/cote/42564/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69535,Ambrosiana D 78 sup.,,14th,,Saints lives,,Milan,,,,,,,,,
coll059,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D347,https://pinakes.irht.cnrs.fr/notices/cote/42567/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69551,Ambrosiana D 82 sup.,,13th,,Philosophy,Aristotle,Milan,,,,,,,,,
coll060,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D349,https://pinakes.irht.cnrs.fr/notices/cote/42571/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:69612,Ambrosiana D 90 sup.,,12th,,Theology,Gregory Nazianzus,Milan,,,,,,,,,
coll061,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D428,https://pinakes.irht.cnrs.fr/notices/cote/42721/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71660,Ambrosiana E 104 sup.,,14th,,Astronomy,Theon|John Philoponus|Proclus,Milan,,,,,,,,,
coll062,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D498,https://pinakes.irht.cnrs.fr/notices/cote/42677/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:45632,Ambrosiana E 11 inf.,,15th,,History,Xenophon|Arrian|Plutarch,Milan,,,,,,,,,
coll063,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D433,https://pinakes.irht.cnrs.fr/notices/cote/42725/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71858,Ambrosiana E 112 sup.,,15th,,Animals,Oppianus,Milan,,,,,,,,,
coll064,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D436,https://pinakes.irht.cnrs.fr/notices/cote/42710/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71932,Ambrosiana E 118 sup.,,14th,,Philosophy,Aristotle|Simplicius,Milan,,,,,,,,,
coll065,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D568,https://pinakes.irht.cnrs.fr/notices/cote/42731/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:72845,Ambrosiana E 147 sup.,,6th,,Palimpsest|Letters,Marcus Aurelius|Appian,Milan,,,,,,,,,
coll066,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D369,https://pinakes.irht.cnrs.fr/notices/cote/42678/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70286,Ambrosiana E 16 sup.,,11th,,Astronomy|Theology|Animals,Epiphanius,Milan,,,,,,,,,
coll067,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D389,https://pinakes.irht.cnrs.fr/notices/cote/42692/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70595,Ambrosiana E 47 sup.,,14th|15th,,Heirmologion,,Milan,,,,,,,,,
coll068,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D500,https://pinakes.irht.cnrs.fr/notices/cote/42694/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:47536,Ambrosiana E 49 inf.,,9th,,Theology,Gregory Nazianzus,Milan,,,,,,,,,
coll069,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D496,https://pinakes.irht.cnrs.fr/notices/cote/42670/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:45589,Ambrosiana E 5 inf.,,15th|16th,,Mathematics,Maximus Planudes|Diophantus,Milan,,,,,,,,,
coll070,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D500,https://pinakes.irht.cnrs.fr/notices/cote/42694/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:47564,Ambrosiana E 50 inf.,,9th,,Theology,Gregory Nazianzus,Milan,,,,,,,,,
coll071,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D390,https://pinakes.irht.cnrs.fr/notices/cote/42696/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70801,Ambrosiana E 61 sup.,,15th,,Lexicon,Thomas Magister,Milan,,,,,,,,,
coll072,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D399,https://pinakes.irht.cnrs.fr/notices/cote/42700/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71017,Ambrosiana E 76 sup.,,14th|15th,,Harmonics|Theology,Barlaam of Calabria|Ptolemy,Milan,,,,,,,,,
coll073,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D503,https://pinakes.irht.cnrs.fr/notices/cote/42701/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:47735,Ambrosiana E 77 inf.,,16th,,Philosophy,Proclus|Nicholas of Methone,Milan,,,,,,,,,
coll074,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D369,https://pinakes.irht.cnrs.fr/notices/cote/42672/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70163,Ambrosiana E 8 sup.,,15th,,Grammar,Herodian|Pindar,Milan,,,,,,,,,
coll075,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D401,https://pinakes.irht.cnrs.fr/notices/cote/42703/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71062,Ambrosiana E 80 sup.,,15th|16th,,Astronomy,Proclus|George Chrysococces,Milan,,,,,,,,,
coll076,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D410,https://pinakes.irht.cnrs.fr/notices/cote/42709/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71226,Ambrosiana E 89 sup.,,14th,,,Homer,Milan,,,,,,,,,
coll077,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D410,https://pinakes.irht.cnrs.fr/notices/cote/42709/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:71226,Ambrosiana E 89 sup.,,14th,,,Homer,Milan,,,,,,,,,
coll078,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D364,https://pinakes.irht.cnrs.fr/notices/cote/42674/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70190,Ambrosiana E 9 sup.,,14th,,Canon law|Theology|History,Gregory of Cyprus|Flavius Josephus|Theodore Balsamon|John Zonaras,Milan,,,,,,,,,
coll079,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D483,https://pinakes.irht.cnrs.fr/notices/cote/42768/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:73878,Ambrosiana F 103 sup.,,13th,,Saints lives,Symeon Metaphrastes,Milan,,,,,,,,,
coll080,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D487,https://pinakes.irht.cnrs.fr/notices/cote/42771/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:73972,Ambrosiana F 106 sup.,,11th|13th|14th,,Palimpsest|Theology|Saints lives,Leo VI the Wise,Milan,,,,,,,,,
coll081,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D438,https://pinakes.irht.cnrs.fr/notices/cote/42736/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:73021,Ambrosiana F 12 sup.,,10th,,Theology,,Milan,,,,,,,,,
coll082,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D497,https://pinakes.irht.cnrs.fr/notices/cote/42778/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:74073,Ambrosiana F 122 sup.,,14th,,Theology,,Milan,,,,,,,,,
coll083,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D502,https://pinakes.irht.cnrs.fr/notices/cote/42783/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:74106,Ambrosiana F 128 sup.,,11th,,History,Flavius Josephus,Milan,,,,,,,,,
coll084,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D510,https://pinakes.irht.cnrs.fr/notices/cote/42790/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:74249,Ambrosiana F 144 sup.,,10th|11th|12th,,Saints lives,,Milan,,,,,,,,,
coll085,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D505,https://pinakes.irht.cnrs.fr/notices/cote/42791/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:50617,Ambrosiana F 205 inf.,,5th|6th,,Illuminations,Homer,Milan,,,,,,,,,
coll086,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D505,https://pinakes.irht.cnrs.fr/notices/cote/42792/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:838480,Ambrosiana F 205.1 inf.,,12th,,,Euripides,Milan,,,,,,,,,
